RecConcept,RecLevel,RecElement,BNZ__2010,VCR__2013
Average Completeness,Average Completeness,Average Completeness,0.6671189507010403,0.6868686868686867
Number of Records,Number of Records,Number of Records,134.0,3.0
,Findable,xsi:schemaLocation,1.0,1.0
,Findable,packageId,1.0,1.0
,Findable,system,1.0,1.0
,Findable,access,0.7164179104477612,1.0
,Findable,alternateIdentifier,0.0,1.0
,Findable,title,1.0,1.0
,Findable,creator,1.0,1.0
,Findable,contact,1.0,1.0
,Findable,metadataProvider,1.0,1.0
,Findable,associatedParty,0.7910447761194029,0.0
,Findable,publisher,1.0,1.0
,Findable,pubDate,1.0,1.0
,Findable,abstract,0.7164179104477612,1.0
,Accessible,keywordSet,1.0,1.0
,Accessible,intellectualRights,1.0,1.0
,Interoperable,distribution,0.7761194029850746,0.6666666666666666
,Interoperable,geographicCoverage,0.8656716417910447,1.0
,Interoperable,taxonomicCoverage,0.0,0.0
,Interoperable,temporalCoverage,1.0,1.0
,Interoperable,maintenance,1.0,1.0
,Interoperable,methods,0.9776119402985076,1.0
,Interoperable,qualityControl,0.0,0.0
,Interoperable,project,0.0,0.3333333333333333
,Interoperable,[entity],0.7761194029850746,0.6666666666666666
,Interoperable,entityDescription,0.3059701492537313,0.6666666666666666
,Interoperable,attributeList,0.7761194029850746,0.3333333333333333
,Interoperable,attributeLabel,0.7761194029850746,0.3333333333333333
,Reusable,attributeDefinition,0.0,0.0
0.0,Reusable,enumeratedDomain,0.4850746268656717,0.3333333333333333
0.0,Reusable,missingValueCode,0.5597014925373134,0.3333333333333333
0.0,Reusable,precision,0.0,0.0
0.0,Reusable,constraint,0.0,0.0
0.0,0.0,additionalMetadata,0.4925373134328358,1.0
